Unnamed: 0,Cód Cliente,Cliente,Fat/dia Jan-Mar 2026,Fat/dia Atual,Fat/dia Projetado,Δ vs Jan-Mar 2026 %,MC/dia Jan-Mar 2026,MC/dia Atual,MC/dia Projetada,Δ MC R$/dia,Δ MC %
6,I2964,GERLANDIA MARIA GOMES DA SILVA E CIA LTD,198.67,43.48,43.48,-78.11446116675894,25.69,5.529999999999999,5.53,-20.16,1.6061092580472432e-14
0,24165,AUTO ELETRICA QUIRINOPOLIS LTDA,577.53,476.16,476.16,-17.55233494363928,55.47,43.18,43.17999999999999,-12.290000000000006,-1.645536673830709e-14
5,I2621,SOPEL SO PECAS ELETRICAS LTDA,852.11,604.34,604.34,-29.077231812794125,74.00999999999999,65.09,65.09,-8.919999999999987,0.0
7,I4352,FARIAS AUTO CENTER LTDA,50.11,0.0,0.0,-100.0,7.1,0.0,0.0,-7.1,
