codfor,fornecedor,fantasia,sigla,a_vl,a_cmv,a_mc,a_qtde,a_cli,d_vl,d_cmv,d_mc,d_qtde,d_cli
00314,FIAMM LATIM AMERICA COMP.AUTOMOBIL. LTDA,FIAMM,,1716.59,1296.63,356.25,43,20,641.57,485.95,133.02,17,7
00323,UNIVERSAL AUTOMOTIVE SYSTEMS LTDA,UNIVERSAL,B,183.34,151.51,39.09,3,2,0.00,0.00,0.00,0,0
00323,UNIVERSAL AUTOMOTIVE SYSTEMS LTDA,UNIVERSAL,F,143.62,122.27,35.18,2,2,0.00,0.00,0.00,0,0
00323,UNIVERSAL AUTOMOTIVE SYSTEMS LTDA,UNIVERSAL,K,3729.69,2981.51,873.22,52,23,2343.36,1993.68,484.01,31,19
00323,UNIVERSAL AUTOMOTIVE SYSTEMS LTDA,UNIVERSAL,M,178.01,151.51,35.09,3,2,139.12,118.32,8.52,4,1
00323,UNIVERSAL AUTOMOTIVE SYSTEMS LTDA,UNIVERSAL,O,113.54,93.88,30.09,1,1,0.00,0.00,0.00,0,0
00323,UNIVERSAL AUTOMOTIVE SYSTEMS LTDA,UNIVERSAL,Q,93.11,56.76,24.93,1,1,0.00,0.00,0.00,0,0
00323,UNIVERSAL AUTOMOTIVE SYSTEMS LTDA,UNIVERSAL,,3282.66,2641.80,719.37,56,27,2238.75,1844.93,421.44,30,15
00332,FORTPECAS INDUSTRIA E COMERCIO LTDA,FORTLUZ,,72.04,49.75,22.39,1,1,0.00,0.00,0.00,0,0
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,B,21820.59,17966.25,3953.66,182,12,12440.27,11555.92,810.57,161,9
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,E,236283.37,194903.53,11960.16,3204,46,47919.70,37750.37,4183.51,495,38
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,F,105070.55,82121.92,19945.33,1350,80,19417.76,13727.33,5659.57,196,33
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,I,44186.60,25481.58,16103.50,273,116,8314.16,4848.93,2813.79,75,34
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,J,2064.43,1766.58,476.36,21,1,4214.07,3679.42,832.80,57,1
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,K,1820498.61,1456980.75,266232.56,23662,1069,586967.82,466292.36,91491.16,7624,729
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,M,17024.78,15555.19,3060.56,156,4,8637.54,7948.75,1531.42,64,4
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,N,55759.76,54581.99,5473.95,806,2,24781.09,23085.35,2480.73,365,2
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,O,226275.07,182283.26,15957.87,2865,52,86407.32,67691.46,7634.44,1067,47
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,Q,3389.96,2488.41,548.49,27,4,1566.26,1145.04,209.34,10,3
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,U,798.99,599.89,55.62,9,1,182.75,124.74,36.93,3,1
00338,PRIVATE BR IN CO E IMP DE P.AUTOM.LTDA,PERFECT,,566377.60,471344.05,110882.87,7185,437,181995.26,154553.03,35550.40,2404,304
00353,BROKITS COMERCIO DE PECAS LTDA,BROKITS,B,203.76,181.79,23.87,23,3,121.57,81.76,29.76,5,2
00353,BROKITS COMERCIO DE PECAS LTDA,BROKITS,E,1970.48,1185.19,240.14,113,15,433.89,233.95,79.04,18,5
00353,BROKITS COMERCIO DE PECAS LTDA,BROKITS,F,2336.37,1604.84,371.90,105,17,549.46,367.82,155.76,36,6
00353,BROKITS COMERCIO DE PECAS LTDA,BROKITS,I,712.02,375.87,166.75,8,5,30.93,16.65,13.32,2,2
00353,BROKITS COMERCIO DE PECAS LTDA,BROKITS,K,30662.30,19896.12,4919.07,1763,302,7859.97,4969.71,1307.32,440,100
00353,BROKITS COMERCIO DE PECAS LTDA,BROKITS,M,262.58,178.20,22.18,34,2,0.00,0.00,0.00,0,0
00353,BROKITS COMERCIO DE PECAS LTDA,BROKITS,N,1147.29,866.25,137.21,58,2,589.69,420.74,77.82,35,2
00353,BROKITS COMERCIO DE PECAS LTDA,BROKITS,O,4044.96,2332.43,714.16,213,20,525.60,280.42,87.79,47,6
00353,BROKITS COMERCIO DE PECAS LTDA,BROKITS,Q,34.12,20.93,2.29,4,1,0.00,0.00,0.00,0,0
00353,BROKITS COMERCIO DE PECAS LTDA,BROKITS,,14495.36,11256.84,2109.60,755,108,3371.82,2467.32,597.86,167,49
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,B,1094.14,767.53,195.88,24,7,523.53,378.02,83.91,18,6
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,E,26755.50,21255.56,1412.40,1535,41,7514.31,5781.88,485.91,381,34
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,F,10954.00,7787.34,1725.23,543,61,3229.15,1880.47,761.56,62,19
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,I,2020.21,1100.93,770.35,39,25,139.00,94.80,4.92,10,1
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,J,99.59,73.98,19.06,7,1,219.00,165.38,12.34,12,2
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,K,436035.68,326724.93,50099.22,22773,978,119560.98,85148.87,17325.68,5359,571
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,M,1004.55,834.94,185.73,33,4,129.01,96.76,24.29,5,3
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,N,2405.87,2123.41,144.26,193,2,447.69,379.02,39.42,32,1
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,O,36600.04,28298.37,2765.44,1446,52,10057.39,7428.37,758.91,508,38
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,Q,1377.88,986.28,83.35,92,9,217.98,147.06,38.20,13,4
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,U,46.32,34.22,7.75,1,1,0.00,0.00,0.00,0,0
00360,R NETO DO BRASIL PECAS AUTOMOTIVAS LTDA,WEGA,,68854.85,53992.85,10016.05,3970,310,19039.67,14602.70,3513.45,973,141
00368,BRAVOX S/A IND.E COMERCIO ELETRONICO,BRAVOX,K,382.19,232.77,98.39,3,3,0.00,0.00,0.00,0,0
00383,AMAPA DO SUL S/A IND DA BORRACHA,AMAPA,I,0.00,0.00,0.00,0,0,97.91,71.87,38.27,1,1
00383,AMAPA DO SUL S/A IND DA BORRACHA,AMAPA,K,432.86,265.50,65.49,7,4,0.00,0.00,0.00,0,0
00383,AMAPA DO SUL S/A IND DA BORRACHA,AMAPA,,409.13,404.26,67.31,6,3,1076.48,1063.68,99.00,16,3
00385,NYARA COELHO DE CARVALHO - EPP,NC PARTS,E,15.12,4.36,4.07,2,1,0.00,0.00,0.00,0,0
00385,NYARA COELHO DE CARVALHO - EPP,NC PARTS,K,562.48,164.53,214.24,13,5,27.77,11.30,11.48,1,1
00385,NYARA COELHO DE CARVALHO - EPP,NC PARTS,O,0.00,0.00,0.00,0,0,19.06,4.90,10.88,1,1
00385,NYARA COELHO DE CARVALHO - EPP,NC PARTS,,101.60,23.47,59.02,3,3,94.83,22.42,54.58,2,2
00388,ROCAL ELETRONICA LTDA,STETSOM,K,0.00,0.00,0.00,0,0,41.36,40.83,10.13,1,1
00392,FRONTEC INDUSTRIA DE COM.DE FIXACAO LTDA,FRONTEC,B,376.34,362.12,73.85,8,3,118.04,113.62,40.19,3,2
00392,FRONTEC INDUSTRIA DE COM.DE FIXACAO LTDA,FRONTEC,E,117.24,68.02,40.42,2,2,181.67,85.08,48.33,6,1
00392,FRONTEC INDUSTRIA DE COM.DE FIXACAO LTDA,FRONTEC,F,468.77,428.65,152.66,17,6,0.00,0.00,0.00,0,0
00392,FRONTEC INDUSTRIA DE COM.DE FIXACAO LTDA,FRONTEC,K,7654.78,6805.53,2180.03,252,91,5000.01,4200.23,1354.62,149,53
00392,FRONTEC INDUSTRIA DE COM.DE FIXACAO LTDA,FRONTEC,M,363.57,258.06,88.17,4,1,203.16,201.44,32.91,2,1
00392,FRONTEC INDUSTRIA DE COM.DE FIXACAO LTDA,FRONTEC,N,59.58,59.06,19.56,2,1,5.94,5.89,2.13,1,1
00392,FRONTEC INDUSTRIA DE COM.DE FIXACAO LTDA,FRONTEC,O,95.79,48.75,33.51,4,2,57.70,27.56,21.91,2,2
00392,FRONTEC INDUSTRIA DE COM.DE FIXACAO LTDA,FRONTEC,Q,175.71,86.50,42.59,10,4,199.43,197.71,27.61,5,1
00392,FRONTEC INDUSTRIA DE COM.DE FIXACAO LTDA,FRONTEC,,4668.70,4622.13,1227.90,148,49,2027.73,1988.55,536.53,63,29
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,B,6299.07,5153.66,605.35,45,7,1982.96,1544.35,221.65,15,5
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,E,131692.99,112169.57,5328.25,1499,45,30128.92,25379.36,1415.01,345,26
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,F,29527.54,22325.70,4306.30,307,54,5654.09,4083.30,1054.38,56,14
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,I,12559.22,7463.32,2888.29,75,33,2091.74,1265.51,465.50,18,10
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,J,349.23,284.42,60.65,5,2,239.00,227.08,8.27,4,1
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,K,761458.51,601494.82,81197.27,8025,848,215882.57,167485.01,25838.53,2185,473
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,M,1615.06,1419.42,214.03,11,3,651.30,591.91,66.99,5,2
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,N,11547.80,10543.58,875.65,152,2,3208.42,2859.72,335.90,36,2
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,O,76506.16,63779.71,4055.73,896,46,21015.08,16845.27,1455.27,240,34
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,Q,711.90,568.19,27.88,10,2,0.00,0.00,0.00,0,0
00395,H.F. SISTEMAS DE FREIO LTDA,HIPPER FRE,,230753.80,187432.38,29469.11,2447,315,65795.50,53685.03,8930.31,670,178
00396,RSC COM. DE PECAS PARA CAMINHOES LTDA,3M FAIXAS,E,47.50,27.70,2.73,10,1,0.00,0.00,0.00,0,0
00396,RSC COM. DE PECAS PARA CAMINHOES LTDA,3M FAIXAS,K,9.50,5.54,2.73,2,1,82.73,53.58,4.46,19,2
00396,RSC COM. DE PECAS PARA CAMINHOES LTDA,3M FAIXAS,O,268.86,159.00,25.06,3,1,0.00,0.00,0.00,0,0
00396,RSC COM. DE PECAS PARA CAMINHOES LTDA,3M FAIXAS,Q,458.86,269.80,52.85,43,3,0.00,0.00,0.00,0,0
00396,RSC COM. DE PECAS PARA CAMINHOES LTDA,3M FAIXAS,,0.00,0.00,0.00,0,0,474.69,307.38,15.61,109,5
00397,MAHLE METAL LEVE S.A,METAL LEVE,B,81.00,71.35,20.32,3,3,291.35,244.48,77.92,2,2
00397,MAHLE METAL LEVE S.A,METAL LEVE,E,12764.53,10246.64,1001.96,170,26,4588.51,3548.85,401.35,82,17
00397,MAHLE METAL LEVE S.A,METAL LEVE,F,6666.35,5072.99,1643.31,91,36,1611.23,1177.74,466.41,25,9
00397,MAHLE METAL LEVE S.A,METAL LEVE,I,2224.66,1369.90,898.90,23,21,56.06,47.90,18.77,1,1
00397,MAHLE METAL LEVE S.A,METAL LEVE,J,196.90,177.40,4.03,20,1,0.00,0.00,0.00,0,0
00397,MAHLE METAL LEVE S.A,METAL LEVE,K,144159.83,115417.71,23509.69,3869,599,47024.99,35645.24,8617.39,1161,299
00397,MAHLE METAL LEVE S.A,METAL LEVE,M,1035.63,986.68,215.28,5,3,366.47,368.45,60.70,3,2
00397,MAHLE METAL LEVE S.A,METAL LEVE,N,1907.11,2063.49,242.48,18,2,341.87,359.88,48.29,7,1
00397,MAHLE METAL LEVE S.A,METAL LEVE,O,8170.95,6397.85,861.43,222,35,2928.62,2216.41,410.45,77,20
00397,MAHLE METAL LEVE S.A,METAL LEVE,Q,343.63,289.37,72.74,7,3,0.00,0.00,0.00,0,0
00397,MAHLE METAL LEVE S.A,METAL LEVE,U,163.52,119.30,27.78,6,2,0.00,0.00,0.00,0,0
00397,MAHLE METAL LEVE S.A,METAL LEVE,,43638.93,37758.46,10338.03,607,180,14393.35,12128.64,3403.73,201,97
00401,SR BRASILIA DIST.DE FILTROS E PECAS LTDA,MILITEC,F,343.72,306.92,66.88,4,3,89.31,68.34,26.18,1,1
00401,SR BRASILIA DIST.DE FILTROS E PECAS LTDA,MILITEC,I,98.86,76.73,35.44,1,1,84.20,68.34,23.68,1,1
00401,SR BRASILIA DIST.DE FILTROS E PECAS LTDA,MILITEC,K,6703.53,6522.05,550.29,85,23,2014.66,1947.08,157.90,28,12
00401,SR BRASILIA DIST.DE FILTROS E PECAS LTDA,MILITEC,,6789.69,6598.78,618.45,86,29,4009.08,3860.60,263.48,56,15
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,B,2806.61,2047.57,335.69,58,10,459.54,333.73,57.49,8,3
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,E,52584.67,42464.95,2938.32,1418,40,15744.37,12426.99,920.35,412,28
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,F,16476.70,11763.62,2668.28,349,54,2666.19,1699.65,716.61,51,15
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,I,4814.10,2683.60,1510.01,47,23,909.41,505.67,275.96,16,7
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,J,312.61,234.46,67.52,4,2,243.61,188.11,60.21,6,2
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,K,457253.08,338187.57,62677.52,9901,875,106298.31,75754.52,16547.21,2333,449
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,M,1232.57,1015.74,162.70,31,4,417.43,336.34,60.39,19,4
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,N,3496.64,2971.16,399.49,95,2,696.73,583.81,104.49,30,1
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,O,40701.49,31511.84,3547.50,980,51,10321.21,7916.05,907.48,300,35
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,Q,318.67,234.60,40.30,6,3,256.30,176.03,51.24,7,2
00417,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,SAMPEL,,114470.70,85869.44,19500.59,2416,284,27804.78,20941.01,4927.90,646,145
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,B,1857.06,1657.64,271.65,10,4,0.00,0.00,0.00,0,0
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,E,17398.58,14618.82,815.97,118,22,5181.13,4178.42,313.87,41,16
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,F,7553.13,5291.02,830.97,35,11,1841.94,1425.16,379.10,10,4
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,I,7372.05,4346.84,1807.00,26,11,1434.46,811.44,399.53,8,3
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,J,0.00,0.00,0.00,0,0,231.30,187.28,28.32,2,1
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,K,189410.33,147491.47,22737.95,1106,337,64052.21,49397.89,8398.76,395,138
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,M,267.94,246.96,28.97,2,1,487.23,499.57,47.51,3,1
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,N,1215.18,1175.86,101.82,14,2,425.86,428.82,32.01,4,1
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,O,32526.60,26653.60,1944.59,188,30,6332.73,4951.52,476.19,40,14
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,Q,394.16,349.06,96.26,2,1,0.00,0.00,0.00,0,0
00419,COMERCIAL DE AUTOPECAS KYB DO BRASIL LTD,KYB,,33565.51,28298.32,6095.62,194,81,15103.55,13144.53,1963.50,99,40
00421,APEX TOOL GROUP IND.COM.FERRAM.LTDA,SATA MAYLE,F,148.59,144.46,47.14,5,2,0.00,0.00,0.00,0,0
00421,APEX TOOL GROUP IND.COM.FERRAM.LTDA,SATA MAYLE,K,29892.63,33558.20,5703.09,59,29,1105.87,1206.92,270.44,12,9
00421,APEX TOOL GROUP IND.COM.FERRAM.LTDA,SATA MAYLE,,5974.92,6353.40,1570.93,31,13,2485.39,2781.49,552.44,15,10
00422,CODISA DISTRIBUIDORA DE AUTO PECAS LTDA,COFRAN,,104.84,81.21,25.69,1,1,0.00,0.00,0.00,0,0
00423,TOTALFLUX IND.DE PROD.QUIMIC.EIRELI EPP,G10,E,333.12,206.24,3.16,48,1,0.00,0.00,0.00,0,0
00423,TOTALFLUX IND.DE PROD.QUIMIC.EIRELI EPP,G10,F,793.68,677.64,35.54,103,9,124.68,110.08,4.36,16,2
00423,TOTALFLUX IND.DE PROD.QUIMIC.EIRELI EPP,G10,I,25.95,20.64,5.78,3,2,96.60,82.56,2.42,12,1
00423,TOTALFLUX IND.DE PROD.QUIMIC.EIRELI EPP,G10,K,18533.16,14510.88,292.86,2655,114,4046.82,3171.32,68.90,556,33
00423,TOTALFLUX IND.DE PROD.QUIMIC.EIRELI EPP,G10,N,23.40,21.39,2.08,3,1,0.00,0.00,0.00,0,0
00423,TOTALFLUX IND.DE PROD.QUIMIC.EIRELI EPP,G10,O,166.56,103.12,3.16,24,2,91.92,51.56,2.19,12,1
00423,TOTALFLUX IND.DE PROD.QUIMIC.EIRELI EPP,G10,,6991.69,6427.54,204.44,963,64,2102.69,1995.77,50.84,291,26
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,B,820.39,573.60,185.84,11,4,284.56,182.00,51.12,4,2
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,E,12864.50,10086.53,1041.86,252,17,2400.78,1798.32,232.55,47,9
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,F,7525.09,4991.72,1698.07,126,27,1289.63,730.72,483.87,21,11
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,I,1043.29,574.15,454.53,16,16,586.21,319.04,257.44,7,7
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,J,485.37,310.12,102.32,7,1,478.12,327.42,76.59,6,1
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,K,124991.73,88112.83,23832.93,2093,432,41818.03,28360.14,8669.74,709,224
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,M,83.49,59.02,25.31,1,1,100.51,73.18,28.85,1,1
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,N,1831.64,1597.68,267.01,36,2,785.10,683.33,99.77,17,1
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,O,22380.92,16046.82,2267.62,424,30,9165.93,6496.73,971.74,199,18
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,Q,186.07,133.73,24.23,3,1,0.00,0.00,0.00,0,0
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,U,0.00,0.00,0.00,0,0,215.36,137.77,56.51,4,1
00425,M.R.IND.COM.BENEF.AUTO PECAS E ACES.LTDA,SPEEDBRAKE,,49970.16,35260.04,10025.84,1022,174,10462.15,7579.63,2315.18,214,79
00427,CVN COM.IMP.EXP.E DIST.DE PECAS AUT.LTDA,CORVEN,B,406.10,346.14,53.80,2,1,274.86,226.84,39.06,2,1
00427,CVN COM.IMP.EXP.E DIST.DE PECAS AUT.LTDA,CORVEN,E,2607.38,1478.83,500.23,11,5,183.60,160.74,22.49,2,1
00427,CVN COM.IMP.EXP.E DIST.DE PECAS AUT.LTDA,CORVEN,F,3157.97,2285.78,726.56,17,8,589.75,467.92,182.31,2,1
00427,CVN COM.IMP.EXP.E DIST.DE PECAS AUT.LTDA,CORVEN,I,1273.86,727.06,380.74,9,5,0.00,0.00,0.00,0,0
00427,CVN COM.IMP.EXP.E DIST.DE PECAS AUT.LTDA,CORVEN,K,58636.47,45399.39,10400.78,356,132,15758.42,12438.52,3179.16,96,48
00427,CVN COM.IMP.EXP.E DIST.DE PECAS AUT.LTDA,CORVEN,M,799.77,754.81,84.41,7,2,149.02,137.34,15.57,2,1
00427,CVN COM.IMP.EXP.E DIST.DE PECAS AUT.LTDA,CORVEN,N,1320.92,1339.69,132.31,11,2,921.38,907.26,73.96,6,1
00427,CVN COM.IMP.EXP.E DIST.DE PECAS AUT.LTDA,CORVEN,O,2377.23,1920.93,271.28,17,3,856.64,690.22,70.78,6,2
00427,CVN COM.IMP.EXP.E DIST.DE PECAS AUT.LTDA,CORVEN,,16538.64,13764.06,2662.87,121,47,6643.78,5387.60,1401.31,35,19
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,B,8812.76,7314.20,1547.13,340,8,2324.68,1916.23,485.96,54,6
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,E,60369.52,41754.76,7578.42,1391,38,16774.68,11312.05,2368.47,266,29
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,F,17344.47,13259.87,3603.96,591,51,4461.40,3068.84,1045.87,41,14
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,I,9564.71,5808.79,3436.27,61,32,2026.49,1285.88,683.54,14,9
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,J,2778.73,2516.51,59.08,199,2,1665.15,1473.85,36.41,125,1
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,K,396311.17,297650.53,66493.09,11318,801,121367.00,86420.20,24259.40,1514,405
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,M,11420.77,9503.22,2053.97,401,4,3519.93,3056.48,597.39,64,4
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,N,6887.75,5861.58,1268.28,118,2,3582.29,3058.60,729.04,46,2
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,O,44667.58,30379.68,6895.59,890,47,7561.72,4844.27,1511.85,102,31
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,Q,12486.36,8555.65,1864.54,179,14,1817.12,1172.98,398.87,16,8
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,U,6462.36,4348.16,822.51,217,3,2030.30,1338.66,297.95,51,3
00429,MULTIQUALITA DISTRIBUIDORA DE AUTO PECAS,OR PARTS,,167479.89,137448.38,34536.85,5784,329,52644.57,43713.98,11225.41,1011,187
00430,H3 TRADING COMPANY S/A,SEINECA,F,90.50,74.42,6.34,13,2,399.06,270.71,67.34,44,9
00430,H3 TRADING COMPANY S/A,SEINECA,I,23.28,12.88,10.76,2,2,255.45,164.06,42.22,25,5
00430,H3 TRADING COMPANY S/A,SEINECA,J,0.00,0.00,0.00,0,0,314.16,279.16,7.67,40,1
00430,H3 TRADING COMPANY S/A,SEINECA,K,15725.29,14585.64,213.58,2378,30,10123.58,8948.18,347.37,1417,62
00430,H3 TRADING COMPANY S/A,SEINECA,M,0.00,0.00,0.00,0,0,169.54,145.23,5.43,23,1
00430,H3 TRADING COMPANY S/A,SEINECA,N,0.00,0.00,0.00,0,0,443.25,398.98,6.84,69,1
00430,H3 TRADING COMPANY S/A,SEINECA,O,0.00,0.00,0.00,0,0,114.00,97.90,2.80,10,1
00430,H3 TRADING COMPANY S/A,SEINECA,Q,12.71,10.92,3.11,2,1,0.00,0.00,0.00,0,0
00430,H3 TRADING COMPANY S/A,SEINECA,,6066.55,5071.63,213.94,828,30,7602.90,6470.91,323.13,1082,58
00431,INDUSTRIAL DE PARAFUSOS WELLINGTON LTDA,WELLPAR,E,0.00,0.00,0.00,0,0,11.82,11.84,4.95,1,1
00431,INDUSTRIAL DE PARAFUSOS WELLINGTON LTDA,WELLPAR,F,11.82,11.84,4.95,1,1,21.04,19.30,4.69,2,1
00431,INDUSTRIAL DE PARAFUSOS WELLINGTON LTDA,WELLPAR,I,0.00,0.00,0.00,0,0,12.45,10.64,6.03,1,1
00431,INDUSTRIAL DE PARAFUSOS WELLINGTON LTDA,WELLPAR,J,264.95,260.88,33.73,96,1,203.70,190.03,27.76,19,1
00431,INDUSTRIAL DE PARAFUSOS WELLINGTON LTDA,WELLPAR,K,1791.29,1712.87,259.26,598,36,471.26,471.20,82.65,205,19
00431,INDUSTRIAL DE PARAFUSOS WELLINGTON LTDA,WELLPAR,,412.68,394.06,55.35,212,16,273.51,271.92,46.91,55,9
00433,ATOS PROTETORES INDUSTRIA E COM. EIRELI,ATOS,B,71.07,51.97,19.87,1,1,0.00,0.00,0.00,0,0
00433,ATOS PROTETORES INDUSTRIA E COM. EIRELI,ATOS,E,256.36,159.08,35.35,4,2,0.00,0.00,0.00,0,0
00433,ATOS PROTETORES INDUSTRIA E COM. EIRELI,ATOS,F,136.43,89.80,40.60,2,2,157.40,102.73,53.66,1,1
00433,ATOS PROTETORES INDUSTRIA E COM. EIRELI,ATOS,I,0.00,0.00,0.00,0,0,96.66,51.97,41.61,1,1
00433,ATOS PROTETORES INDUSTRIA E COM. EIRELI,ATOS,K,3118.92,2138.35,816.39,46,32,771.98,553.45,218.21,9,8
00433,ATOS PROTETORES INDUSTRIA E COM. EIRELI,ATOS,O,301.31,177.51,70.33,4,2,0.00,0.00,0.00,0,0
00433,ATOS PROTETORES INDUSTRIA E COM. EIRELI,ATOS,U,67.42,41.71,18.72,1,1,0.00,0.00,0.00,0,0
00433,ATOS PROTETORES INDUSTRIA E COM. EIRELI,ATOS,,1558.92,1136.62,426.23,21,12,916.53,669.60,205.68,12,9
00434,*CLICK AUTOMOTIVA INDUSTRIAL LTDA,CLICK,F,65.76,31.66,27.02,1,1,0.00,0.00,0.00,0,0
00434,*CLICK AUTOMOTIVA INDUSTRIAL LTDA,CLICK,K,16.53,8.67,6.09,1,1,0.00,0.00,0.00,0,0
00435,AUTOPOLI INDUSTRIA E COMERCIO LTDA,AUTOPOLI,B,40.61,22.94,11.00,3,1,0.00,0.00,0.00,0,0
00435,AUTOPOLI INDUSTRIA E COMERCIO LTDA,AUTOPOLI,E,69.36,34.36,3.21,6,1,0.00,0.00,0.00,0,0
00435,AUTOPOLI INDUSTRIA E COMERCIO LTDA,AUTOPOLI,F,249.38,130.35,57.40,8,3,0.00,0.00,0.00,0,0
00435,AUTOPOLI INDUSTRIA E COMERCIO LTDA,AUTOPOLI,K,2827.44,1548.33,287.10,246,46,446.00,223.57,38.80,36,7
